Decade,Song,Film,Year,MusicDirector,Lyricist,Singer1,Singer2,Singer3
1950s,kahaa.N tak ham uThaa_e.n Gam -  View,Arzoo (1950),1950,Anil Biswas,Majrooh,Lata,,
1950s,aayii bahaar aayii aayii bahaar -  View,Arzoo (1950),1950,Anil Biswas,Prem Dhawan,Lata,,
1950s,sun re sajan sun ... meraa naram karejawaa Dol gayaa -  View,Arzoo (1950),1950,Anil Biswas,Prem Dhawan,Lata,,
1950s,unhe.n kho kar ... unhe.n ham jo dil se bhulaane lage -  View,Arzoo (1950),1950,Anil Biswas,Majrooh,Lata,,
1960s,ajii ruuTh kar ab kahaa.N jaaiegaa -  View,Arzoo (1965),1965,Shankar-Jaikishan,Hasrat,Lata, Rafi,
1960s,bedardii baalamaa tujhako meraa man yaad karataa hai -  View,Arzoo (1965),1965,Shankar-Jaikishan,Hasrat,Lata,,
1940s,duur jaaye re raah merii aaj terii raah se -  View,Asha (1948),1948,Khemchand Prakash,L Meghani,Lata,,
1940s,kit jaaye base ho muraarii -  View,Asha (1948),1948,Khemchand Prakash,L Meghani,Lata,,
1960s,laakh chhupaao chhup na sakegaa -  View,Asli Naqli (1962),1962,Shankar-Jaikishan,Hasrat,Lata,,
1960s,"teraa meraa pyaar amar, phir kyo.n mujhako lagataa h... -  View",Asli Naqli (1962),1962,Shankar-Jaikishan,Shailendra,Lata,,
1950s,dard\-e\-jigar Thahar zaraa dam to mujhe -  View,Aurat (1953),1953,Shankar-Jaikishan,Shailendra,Lata,,
1950s,naino.n se nain hu_e chaar aaj meraa dil aa gayaa -  View,Aurat (1953),1953,Shankar-Jaikishan,Hasrat,Lata,,
1950s,ulfat kaa saaz chhe.Do -  View,Aurat (1953),1953,Shankar-Jaikishan,Hasrat,Lata,,
1950s,"aa jaao ta.Dapate hai.n aramaa.N, ab raat guzarane v... -  View",Awara (1951),1951,Shankar-Jaikishan,Hasrat,Lata,,
1950s,"dam bhar jo udhar mu.Nh phere, o chandaa -  View",Awara (1951),1951,Shankar-Jaikishan,Shailendra,Lata, Mukesh,
1950s,ik bevafaa se pyaar kiyaa -  View,Awara (1951),1951,Shankar-Jaikishan,Hasrat,Lata,,
1950s,jabase balam ghar aa_e -  View,Awara (1951),1951,Shankar-Jaikishan,Hasrat,Lata,,
1960s,suno sajanaa papiihe ne kahaa sabase -  View,Aye Din Bahaar Ke (1966),1966,Laxmikant-Pyarelal,Anand Bakshi,Lata,,
1960s,ye kalii jab talak phuul ban ke khile -  View,Aye Din Bahaar Ke (1966),1966,Laxmikant-Pyarelal,Anand Bakshi,Lata, Mahendra Kapoor,
1960s,tumhe.n aur kyaa duu.N mai.n dil ke sivaay -  View,Ayee Milan Ki Bela (1964),1964,Shankar-Jaikishan,Hasrat Jaipuri,Lata,,
1950s,raat ke raahii thak mat jaanaa -  View,Baablaa (1953),1953,S D Burman,Sahir,Lata,,
1950s,raat khushii kii aayii -  View,Baablaa (1953),1953,S D Burman,Sahir,Lata,,
1950s,do din ke liye mahamaan yahaa.N -  View,Baadal (1951),1951,Shankar-Jaikishan,Shailendra,Lata,,
1950s,duniyaa badal rahii hai aa.Nsuu bahaane waale -  View,Baadal (1951),1951,Shankar-Jaikishan,Hasrat,Lata,,
1950s,Kushii to qaid me.n hai ... rotaa hai meraa dil -  View,Baadal (1951),1951,Shankar-Jaikishan,Hasrat,Lata,,
1950s,o anamol pyaar bin mol bike -  View,Baadal (1951),1951,Shankar-Jaikishan,Shailendra,Lata,,
1950s,aa niile gagan tale pyaar ham kare.n -  View,Baadshah (1954),1954,Shankar-Jaikishan,Hasrat,Lata, Hemant,
1950s,hamaare baad ab mahafil me.n ... bahaare.n ham ko Dh... -  View,Baaghi (1953),1953,Madan Mohan,Majrooh,Lata,,
1950s,kar ke badanaam merii nii.nde.n haraam -  View,Baaghi (1953),1953,Madan Mohan,Majrooh,Lata,,
1950s,taare khile aa_ii raat ... ye duniyaa jaane naa -  View,Baaghi (1953),1953,Madan Mohan,Majrooh,Lata,,
1950s,dil unako uThaake de diyaa -  View,Baap Bete (1959),1959,Madan Mohan,Rajinder Krishan,Lata,,
1950s,duniyaa banaane vaale raamojii -  View,Baap Beti (1954),1954,Roshan,Pradeep,Lata,,
1950s,le chal rii ni.ndiyaa -  View,Baap Beti (1954),1954,Roshan,Pradeep,Lata,,
1950s,dard bharaa dil bhar bhar aaye -  View,Baaraadari (1955),1955,Nashad,Khumar Barabankvi,Lata,,
1950s,kho diyaa mai.n ne paa kar kisii ko -  View,Baaraadari (1955),1955,Nashad,Khumar Barabankwi,Lata,,
1950s,kahate hai.n pyaar kisako pa.nchhii zaraa bataa de -  View,Baarish (1957),1957,C Ramachandra,Rajinder Krishan,Lata, Chitalkar / Lata,
1950s,phir wahii chaa.Nd wahii ham wahii tanhaa_ii hai -  View,Baarish (1957),1957,C Ramachandra,Rajinder Krishan,Lata, Chitalkar,
1950s,ye mu.Nh aur daal masuur kii -  View,Baarish (1957),1957,C Ramachandra,Rajinder Krishan,Lata,,
1950s,zi.ndagii dii thii jo ... ye aarazuu thii kabhii ham... -  View,Baarish (1957),1957,C Ramachandra,Rajinder Krishan,Lata,,
1960s,likho-pa.Dhoge to aage ba.Dhoge -  View,Baarood (1960),1960,Khayyam,Hasrat,Lata, Rafi," Sheikh Mukhtar, Ho"
1960s,ra.ng ra.ngiilaa saa.Nvaraa mohe mil gayo jamunaa paar -  View,Baarood (1960),1960,Khayyam,Hasrat,Lata, Chorus,
1960s,terii aa.Nkho.n kaa ra.ng niraalaa hai -  View,Baarood (1960),1960,Khayyam,Hasrat,Lata, Rafi,
1960s,terii duniyaa me.n nahii.n ko_ii hamaaraa apanaa -  View,Baarood (1960),1960,Khayyam,Hasrat,Lata, Chorus,
1960s,aTakan baTakan dahii chaTokan raajaa ga_e dillii -  View,Baarood (1960),1960,Khayyam,Hasrat,Lata, Honey Irani,
1970s,"uThe sab ke kadam, taaraa ram-pam-pam -  View",Baaton Baaton Mein (1979),1979,Rajesh Roshan,Amit Khanna,Lata, Amit Kumar, Pearl Padamsee
1980s,"phir chhi.Dii raat, baat phuulo.n kii -  View",Baazaar (1982),1982,Khayyam,Maqdoom Mohiuddin,Lata, Talat Aziz,
1950s,huve majabuur ham ... kisii ke dil me.n rahanaa thaa -  View,Babul (1950),1950,Naushad,Shakeel,Lata, Shamshad,
1950s,lagan more man kii balam nahii.n jaane -  View,Babul (1950),1950,Naushad,Shakeel,Lata,,
1950s,pa.nchhii ban me.n piyaa-piyaa gaane lagaa -  View,Babul (1950),1950,Naushad,Shakeel,Lata,,
1970s,merii saa.Nso.n ko jo mahakaa rahii hai -  View,Badalte Rishte (1978),1978,Laxmikant-Pyarelal,Anjaan,Lata, Mahendra Kapoor,
1940s,"chale jaanaa nahii.n, nain milaake -  View",Badi Bahen (1949),1949,Husnlal-Bhagatram,Rajinder Krishan,Lata,,
1940s,chup chup kha.De ho zaruur koii baat hai -  View,Badi Bahen (1949),1949,Husnlal-Bhagatram,Rajinder Krishan,Lata, Premlata,
1950s,saajan tumase pyaar karuu.N mai.n kaise tumhe.n bata... -  View,Badnaam (1952),1952,Basant Prakash,Hasrat,Lata,,
1960s,guzare hai.n is tarah se duniyaa me.n din hamaare -  View,Bahaanaa (1960),1960,Madan Mohan,Rajinder Krishan,Lata,,
1960s,jaa re badaraa bairii jaa re -  View,Bahaanaa (1960),1960,Madan Mohan,Rajinder Krishan,Lata,,
1960s,"aa jaa piyaa tohe pyaar duu.n, gorii ba_iyaa.n tope ... -  View",Baharon Ke Sapne (1967),1967,R D Burman,Majrooh,Lata,,
1960s,"kyaa jaanuu.N saajan, hotii hai kyaa Gam kii shaam -  View",Baharon Ke Sapne (1967),1967,R D Burman,Majrooh,Lata, Usha,
1950s,a.ng a.ng me.n uma.ng chaaro.n or hai bahaar -  View,Bahu (1955),1955,Hemant Kumar,S H Bihari,Lata,,
1950s,chhupaa le daaG\-e\-jigar ... ai dard\-e\-jigar fari... -  View,Bahu (1955),1955,Hemant Kumar,S H Bihari,Lata,,
1960s,duniyaa kare savaal to ham kyaa javaab de.n -  View,Bahu Begum (1967),1967,Roshan,Sahir,Lata,,
1960s,pa.D gaye jhuule saawan rut aa_ii re -  View,Bahu Begum (1967),1967,Roshan,Sahir,Lata, Asha, Chorus
1960s,mai.n jaaguu.N saarii rain -  View,Bahurani (1963),1963,C Ramachandra,Sahir,Lata,,
1960s,umr huii tumase mile phir bhii jaane kyo.n -  View,Bahurani (1963),1963,C Ramachandra,Sahir,Lata, Hemant,
1950s,gajaananaM ... he gaNesh gaNanaayak -  View,Bahut Din Huye (1954),1954,B S Kalla,Pt Indra,Lata,,
1950s,mai.n huu.N ruup kii raanii -  View,Bahut Din Huye (1954),1954,B S Kalla,Pt Indra,Lata,,
1950s,"saiyaa.N, tere prem kii diiwaanii ban aa_ii huu.N -  View",Bahut Din Huye (1954),1954,B S Kalla,Pt Indra,Lata,,
1950s,viiNaa merii aashaa bharii ... kyuu.n chamelii khila... -  View,Bahut Din Huye (1954),1954,B S Kalla,Pt Indra,Lata,,
1950s,cha.ndaa chamake niil gagan me.n -  View,Bahut Din Huye (1954),1954,Emani Shankar Shastri,Pt Indra,Lata,,
1950s,jhuule me.n pawan ke aa_ii bahaar -  View,Baiju Baawraa (1952),1952,Naushad,Shakeel,Lata, Rafi,
1950s,mohe bhuul gae saa.Nvariyaa -  View,Baiju Bawra (1952),1952,Naushad,Shakeel,Lata,,
1950s,bachapan kii mohabbat ko dil se na judaa karanaa -  View,Baiju Bawra (1952),1952,Naushad,Shakeel,Lata,,
1970s,chhoTii sii umar me.n lag gayaa rog ... mai.n mar ja... -  View,Bairaag (1976),1976,Kalyanji-Anandji,Anand Bakshi,Lata,,
1970s,naacho re ... chhallaa mere chhailaa ne chhiinaa -  View,Bandhe Haath (1973),1973,R D Burman,Majrooh,Lata,,
1960s,jogii jabase tuu aayaa mere dvaare -  View,Bandini (1963),1963,S D Burman,Shailendra,Lata,,
1960s,moraa goraa a.ng lai le -  View,Bandini (1963),1963,S D Burman,Gulzar,Lata,,
1950s,aa phir se mere pyaar kii qismat sa.Nwaar de -  View,Baraati (1954),1954,Roshan,Jan Nisar Akhtar,Lata,,
1950s,dil hamase vo lagaae.N jo ha.Nsake tiir khaae.N -  View,Baradari (1955),1955,Nashad,Khumar Barabankvi,Lata, Mubarak Begum, Chorus
1950s,ab ke baras ba.Daa julam hu_aa -  View,Baradari (1955),1955,Nashad,Khumar Barabankvi,Lata,,
1950s,pyaar kii raah par kyaa -  View,Bari Bahoo (1951),1951,Anil Biswas,Rangeen,Lata, Mukesh,
1950s,sitaaro.n chaa.Nd se kah do bas itanii baat dhiire se -  View,Bari Bahoo (1951),1951,Anil Biswas,Rajinder Krishan,Lata,,
1950s,badalii terii nazar to nazaare badal ga_e -  View,Bari Bahoo (1951),1951,Anil Biswas,Prem Dhawan,Lata,,
1950s,ta.Dapaa_oge ta.Dapaa lo ham ta.Dap ta.Dap kar -  View,Barkha (1959),1959,Chitragupt,Rajinder Krishan,Lata,,
1970s,samundar samundar yahaa.N se wahaa.N tak -  View,Barood (1976),1976,S D Burman,Anand Bakshi,Lata,,
1970s,dil kaa.NTo.n me.n ulajhaayaa hai -  View,Barood (1976),1976,S D Burman,Anand Bakshi,Lata,,
1940s,ab meraa kaun sahaaraa -  View,Barsaat (1949),1949,Shankar-Jaikishan,Hasrat,Lata,,
1940s,barasaat me.n hamase mile tum sajan -  View,Barsaat (1949),1949,Shankar-Jaikishan,Shailendra,Lata, Chorus,
1940s,bichha.De hu_e paradesii ik baar to aanaa tuu -  View,Barsaat (1949),1949,Shankar-Jaikishan,Hasrat,Lata,,
1940s,"chho.D gae baalam, mujhe haay akelaa chho.D gae -  View",Barsaat (1949),1949,Shankar-Jaikishan,Hasrat,Lata, Mukesh,
1940s,havaa me.n u.Dataa jaaye meraa laal dupaTTaa malamal... -  View,Barsaat (1949),1949,Shankar-Jaikishan,Ramesh Shastri,Lata,,
1940s,"jiyaa beqaraar hai, chhaa_ii bahaar hai, -  View",Barsaat (1949),1949,Shankar-Jaikishan,Hasrat,Lata,,
1940s,merii aa.Nkho.n me.n bas gayaa koii re -  View,Barsaat (1949),1949,Shankar-Jaikishan,Hasrat,Lata,,
1940s,o o o o mujhe kisii se pyaar ho gayaa -  View,Barsaat (1949),1949,Shankar-Jaikishan,Jalaal Malihabadi,Lata,,
1940s,patalii kamar hai -  View,Barsaat (1949),1949,Shankar-Jaikishan,Shailendra,Lata, Mukesh,
1940s,prem-nagar me.n basane waalo -  View,Barsaat (1949),1949,Shankar-Jaikishan,Hasrat,Lata,,
1980s,nadiyaa kinaare pe hamaraa bagaan -  View,Barsaat Ki Ek Raat (1981),1981,R D Burman,Anand Bakshi,Lata,,
1980s,apane pyaar ke sapane sach hue -  View,Barsaat Ki Ek Raat (1981),1981,R D Burman,Anand Bakshi,Lata, Kishore,
1980s,haay vo paradesii -  View,Barsaat Ki Ek Raat (1981),1981,R D Burman,Anand Bakshi,Lata,,
1960s,mujhe mil gayaa bahaanaa terii diid kaa -  View,Barsaat Ki Raat (1960),1960,Roshan,Sahir,Lata,,
1950s,"jaa jaa re jaa, baalamavaa -  View",Basant Bahaar (1956),1956,Shankar-Jaikishan,Shailendra,Lata,,
1950s,kar gayaa re kar gayaa mujhape jaaduu sa.Nwariyaa -  View,Basant Bahaar (1956),1956,Shankar-Jaikishan,Shailendra,Lata, Asha,
1950s,mai.n piyaa terii tuu maane yaa na maane -  View,Basant Bahaar (1956),1956,Shankar-Jaikishan,Hasrat,Lata,,
1950s,nain mile chain kahaa.N dil hai vahii.n tuu hai jaha... -  View,Basant Bahaar (1956),1956,Shankar-Jaikishan,Shailendra,Lata, Manna Dey,
1970s,more nainaa bahaa_e niir -  View,Bawarchi (1972),1972,Madan Mohan,Kaifi Azmi,Lata,,
1940s,saajan kii galiyaa.N chho.D chale -  View,Bazaar (1949),1949,Shyam Sundar,Qamar Jalalabadi,Lata,,
1940s,zaraa sun lo ham apane pyaar kaa afasaanaa kahate ha... -  View,Bazaar (1949),1949,Shyam Sundar,Qamar Jalalabadi,Lata, Rajkumari, ???
1940s,basaa lo apanii nigaaho.n -  View,Bazar (1949),1949,Shyam Sunder,Qamar Jalalabadi,Lata,,
1960s,kahii.n diip jale kahii.n dil -  View,Bees Saal Baad (1962),1962,Hemant Kumar,Shakeel,Lata,,
1960s,sapane suhaane la.Dakapan ke -  View,Bees Saal Baad (1962),1962,Hemant Kumar,Shakeel,Lata,,
1960s,ai mohabbat merii duniyaa me.n teraa kaam na thaa -  View,Bees Saal Baad (1962),1962,Hemant Kumar,Shakeel,Lata,,
1980s,"e rii pavan, Dhuu.N.Dhe kise teraa man, chalate chal... -  View",Bemisal (1982),1982,R D Burman,Anand Bakshi,Lata,,
1980s,"kitanii khuubasuurat ye tasviir hai, mausam bemisaal... -  View",Bemisal (1982),1982,R D Burman,Anand Bakshi,Lata, Suresh Wadkar, Kishore
1970s,ek din ha.Nsaanaa ek din rulaanaa -  View,Benaam (1974),1974,R D Burman,Majrooh,Lata,,
1960s,mil jaa re jaan-e-jaanaa.N -  View,Benazir (1964),1964,S D Burman,Shakeel Badayuni,Lata,,
1950s,hue un se nainaa chaar ab mai.n kyaa karuu.N -  View,Beqasoor (1950),1950,Anil Biswas,Ehsaan Rizvi,Lata,,
1950s,man me.n naache.n man kii uma.nge.n ban me.n naache ... -  View,Beqasoor (1950),1950,Anil Biswas,Ehsaan Rizvi,Lata,,
1950s,aayii bhor suhaanii -  View,Beqasoor (1950),1950,Anil Biswas,Aarzoo Lakhnavi,Lata,,
1950s,o gore\-gore chaa.Nd se mukh par ... matavaale naino... -  View,Beqasoor (1950),1950,Anil Biswas,Arzoo Lucknowi,Lata,,
1980s,baadal yuu.N garajataa hai -  View,Betaab (1983),1983,R D Burman,Anand Bakshi,Lata, Shabbir Kumar,
1980s,jab ham javaa.N ho.nge -  View,Betaab (1983),1983,R D Burman,Anand Bakshi,Lata, Shabbir Kumar,
1960s,"aaj kal me.n Dhal gayaa, din huaa tamaam -  View",Beti Bete (1964),1964,Shankar-Jaikishan,Shailendra,Lata,,
1950s,dil matawaalaa laakh sambhaalaa -  View,Bewafaa (1952),1952,A R Qureshi,Sarshar Sailani,Lata,Talat,
1950s,ek baar jhalak dikhalaa ke hame.n ... isii kaa naam ... -  View,Bewafaa (1952),1952,Alla Rakha Qureshi,Sarshar Sailani,Lata,,
1950s,badanasiibii kaa gilaa ai dil-e-naashaad na kar -  View,Bewafaa (1952),1952,Alla Rakha,Sarshar Sailani,Lata,,
1960s,diivaane tum diivaane ham -  View,Bezuban (1962),1962,Chitragupt,Prem Dhawan,Lata,,
1950s,chhupaa kar merii aa.Nkho.n ko -  View,Bhaabhi (1957),1957,Chitragupt,Rajinder Krishan,Lata, Rafi,
1950s,Tha.nDii Tha.nDii hawaa khaane ... raajaa jaanii pya... -  View,Bhaai Bhaai (1956),1956,Madan Mohan,Rajinder Krishan,Lata, Chorus,
1960s,jyoti kalash chhalake jyoti kalash chhalake -  View,Bhabhi Ki Chudiyan (1961),1961,Sudhir Phadke,Pt. Narendra Sharma,Lata,,
1960s,lau lagaatii giit gaatii -  View,Bhabhi ki Chudiyan (1961),1961,Sudhir Phadke,Narendra Sharma,Lata,,
1960s,merii laaj raakho giradhaarii -  View,Bhabhi ki Chudiyan (1961),1961,Sudhir Phadke,Narendra Sharma,Lata,,
1960s,cha.ndramaa jaa un se kah de -  View,Bharat Milaap (1965),1965,Vasant Desai,Bharat Vyas,Lata, Mahendra Kapoor,
1960s,aaj kii mulaakaat bas itanii -  View,Bharosa (1963),1963,Ravi,Rajinder Krishan,Lata, Mahendra Kapoor,
1960s,vo dil kahaa.N se laauu.N terii yaad jo bhulaade -  View,Bharosa (1963),1963,Ravi,Rajinder Krishan,Lata,,
1960s,dha.Dakaa o dil dha.Dakaa -  View,Bharosa (1963),1963,Ravi,Rajinder Krishan,Lata, Asha,
1960s,dil jo na kah sakaa -  View,Bheegi Raat (1965),1965,Roshan,Majrooh,Lata,,
1970s,jhuk ga_ii.n aa.Nkhe.n terii raaho.n pe -  View,Bhola Bhala (1976),1976,R D Burman,Anand Bakshi,Lata, Kishore,
1940s,itanaa bhii beqaso.n ko na aasamaa.N sataa_e -  View,Bholi (1949),1949,Pt Gobindram,Pt Ishwar Chandra Kapoor,Lata,,
1940s,sabze kii durfishaanii phuulo.n kaa shaamiyaanaa -  View,Bihari (1948),1948,Ramkrishna Shinde,Munshi Farog,Lata,,
1950s,ham un ko samajhate hai.n ummiido.n kaa sahaaraa -  View,Bikhare Moti (1951),1951,Ghulam Mohammad,Akhtar-ul-Imaan,Lata,,
1950s,ho.nTho.n pe ha.Nsii dil me.n hai Kushii -  View,Bikhare Moti (1951),1951,Ghulam Mohammad,Khumar Barabankwi,Lata,,
1950s,mil lo raajaa sa.Dakiyaa pe mil lo -  View,Bikhare Moti (1951),1951,Ghulam Mohammad,Akhtar-ul-Imaan,Lata, Raja Gul,
1960s,Kushii bhii milii hamako to Gam se bharii -  View,Bin Baadal Barsaat (1963),1963,Hemant Kumar,Shakeel Badayuni,Lata,,
1960s,"zi.ndagii kitanii khuubasuurat hai, aaiye aapakii za... -  View",Bin Baadal Barsaat (1963),1963,Hemant Kumar,Shakeel,Hemant ,Lata,
1960s,dabe labo.n se kabhii jo ko_ii -  View,Biwi Aur Makan (1966),1966,Hemant Kumar,Gulzar,Lata, Asha,
1950s,mai.n tumhii se puuchhatii huu.N -  View,Black Cat (1959),1959,N Dutta,Jaan Nisar Akhtar,Lata, Rafi,
1950s,"sitaare raah takate hai.n, chale aao chale aao -  View",Black Cat (1959),1959,N Dutta,Jaan Nisar Akhtar,Lata,,
1970s,"akhiyo.n ko rehane do, akhiyo.n ke aas paas -  View",Bobby (1973),1973,Laxmikant-Pyarelal,Anand Bakshi,Lata,,
1970s,tum merii zi.ndagii me.n kuchh is tarah se aaye -  View,Bombay To Goa (1972),1972,R D Burman,Rajinder Krishan,Lata, Kishore,
1970s,jiyaa naa laage moraa -  View,Buddha Mil Gaya (1971),1971,R D Burman,Majrooh,Lata,,
1970s,jab tum chale jaaoge... aaj mujhe tum apanii tasaviir -  View,Bullet (1976),1976,R D Burman,Anand Bakshi,Lata,,
1960s,zulfe.n ulajhii hai.n mere ka.Nganaa se -  View,Burma Road (1962),1962,Chitragupt,Majrooh,Lata,,
1950s,"Dar laage duniyaa se balamaa ho, ulfat na bane afasa... -  View",Buzdil (1951),1951,S D Burman,Kaifi Azmi,Lata, Talat,
1950s,jaane na jaane na haay ye duniyaa jaane na dil kii l... -  View,Buzdil (1951),1951,S D Burman,Shailendra,Lata,,
1950s,jhan jhan jhan jhan paayal baaje -  View,Buzdil (1951),1951,S D Burman,Shailendra,Lata,,
1950s,mai.n alabelii rumajhum rumajhum baaje ghuu.Nghar mo... -  View,Buzdil (1951),1951,S D Burman,Shailendra,Lata,,
1950s,rote rote guzar gayii raat -  View,Buzdil (1951),1951,S D Burman,"Shailendra, Kaifi Azmi",Lata,,
1970s,ulfat me.n zamaane kii -  View,Call Girl (1974),1974,Sapan-Jagmohan,Naqsh Lyallpuri,Kishore ,Lata,
1970s,cha.Dhatii jawaanii merii chaal mastaanii -  View,Caravan (1971),1971,R D Burman,Majrooh,Lata, Rafi,
1970s,"dilabar dil se pyaare dilabar, dil kii sunataa jaa re -  View",Caravan (1971),1971,R D Burman,Majrooh,Lata,,
2000s,mere dil me.n tum nazar me.n tum saa.Nso.n me.n tum ... -  View,Censor (2001),2001,Jatin-Lalit,Neeraj,Lata,,
1950s,bairan nii.nd na aa_e mohe -  View,Chaachaa Zindaabaad (1959),1959,Madan Mohan,Rajinder Krishan,Lata,,
1980s,jaaiye hamase Kafaa ho jaaiye -  View,Chaalbaaz (1980),1980,Madan Mohan,Yogesh,Lata,,
1950s,yaaro.n ne baahe.n jo Daale gale -  View,Chaalis Baabaa Ek Chor (1954),1954,S D Burman,P L Santoshi,Lata,,
1950s,aa jaa rii chaa.Ndanii hamaarii galii chaa.Nd leke -  View,Chaand (1959),1959,Hemant Kumar,Shailendra,Lata, Chorus,
1950s,kabhii aaj kabhii kal kabhii paraso.n -  View,Chaand (1959),1959,Hemant Kumar,Shailendra,Lata, Suman,
1950s,khoyii khoyii akhiyaa.N nii.nd binaa -  View,Chaand (1959),1959,Hemant Kumar,Shailendra,Lata,,
1950s,"ai baadalo.n, rimajhim ke ra.ng liye kahaa.N chale -  View",Chaand (1959),1959,Hemant Kumar,Shailendra,Lata,,
1990s,sa.nsaar ke sab sukh tere -  View,Chaand Grahan (1997),1997,Jaidev,Kaifi Azmi,Lata,,
1960s,sajanaa sajanaa kaahe bhuul ga_e din pyaar -  View,Chaand Mere Aajaa (1960),1960,Chitragupt,Prem Dhawan,Lata,,
1980s,mere haatho.n me.n nau nau chuu.Diyaa.N hai.n -  View,Chaandani (1989),1989,Shiv-Hari,Anand Bakshi,Lata,,
1980s,tere dil me.n hii apane aramaan rakh duu.n ... aajaa... -  View,Chaandani (1989),1989,Shiv-Hari,Anand Bakshi,Lata,,
1980s,tere mere ho.nTho.n me.n miiThe miiThe giit mitavaa -  View,Chaandani (1989),1989,Shiv-Hari,Anand Bakshi,Lata, Babla,
1950s,aa jaa_e.N jaanevaale lauT aa_e bahaare.n -  View,Chaandni Chowk (1954),1954,Roshan,Majrooh,Lata,,
1950s,har baat puuchhiye ... hamako kisii se kyuu.N hai mu... -  View,Chaandni Chowk (1954),1954,Roshan,Majrooh,Lata, Asha," Shamshad, Chorus"
1950s,badal chalii hai jo unakii ... jaaduu buraa ba.ngaal... -  View,Chaandni Chowk (1954),1954,Roshan,Shailendra,Lata,,
1950s,bahak chale mere nainawaa -  View,Chaandni Chowk (1954),1954,Roshan,Shailendra,Lata,,
1950s,i.ntazaar aur abhii -  View,Chaar Dil Chaar Raahen (1959),1959,Anil Biswas,Sahir,Lata,,
1950s,koii maane na maane magar jaaneman -  View,Chaar Dil Chaar Raahen (1959),1959,Anil Biswas,Sahir,Lata,,
1940s,haay cha.ndaa ga_e parades -  View,Chakori (1949),1949,Hansraj Behl,M R Bhakri,Lata,,
1970s,parameshvar rakhavaalaa teraa -  View,Chambal Ki Kasam (1979),1979,Khayyam,Sahir,Lata,,
1970s,"cha.ndaa re mere bhaiyyaa se kahanaa, bahanaa yaad k... -  View",Chambal Ki Kasam (1979),1979,Khayyam,Sahir,Lata,,
1970s,ye bekasii ke a.Ndhere zaraa -  View,Chambal Ki Rani (1979),1979,Naushad,Jan Nisar Akhtar,Lata,,
1950s,khulii havaa me.n Dole re aaj meraa man bole re -  View,Champaakali (1957),1957,Hemant Kumar,Rajinder Krishan,Lata,,
1950s,naa jaane ye chandaa naa jaane.n ye sitaare -  View,Champaakali (1957),1957,Hemant Kumar,Rajinder Krishan,Lata,,
1950s,"chhup gayaa koii re, duur se pukaar ke -  View",Champaakali (1957),1957,Hemant Kumar,Rajinder Krishan,Lata,,
1960s,jhanana jhanana baaje -  View,Chand Aur Suraj (1965),1965,Salil Chowdhury,Shailendra,Lata,,
1960s,terii yaad na dil se jaa sakii -  View,Chand Aur Suraj (1965),1965,Salil Chowdhury,Shailendra,Lata,,
1960s,o ga.ngaa maiyaa paar lagaa de mere sapano.n kii nai... -  View,Chandan Ka Palna (1967),1967,R D Burman,Majrooh,Lata,,
1960s,sharaabii\-sharaabii meraa naam ho gayaa -  View,Chandan Ka Palna (1967),1967,R D Burman,Anand Bakshi,Lata,,
1950s,dil kii shikaayat nazar ke shikawe -  View,Chandni Chowk (1954),1954,Roshan,Shailendra,Lata,,
1940s,haay chhore kii jaat ba.Dii bewafaa -  View,Chandni Raat (1949),1949,Naushad,Shakeel,Lata, G M Durrani,
1960s,naino.n se naino.n kii baat huu_ii -  View,Chandramukhi (1960),1960,S N Tripathi,Bharat Vyas,Lata,,
1950s,jab raat nahii.n kaTatii ik raat nahii.n kaTatii -  View,Changez Khaan (1957),1957,Hansraj Behl,"Qamar Jalalabadi, Verma Malik",Lata,,
1960s,nii.nd parii lorii gaa_e -  View,Char Diwari (1961),1961,Salil Chowdhury,Shailendra,Lata,,
1970s,"aa hamasafar, pyaar kii sej par, kuchh kahe.n kuchh ... -  View",Chatpati (1982) and Yasmeen (1973) (1982),1982,Basu Manohari,Yogesh,Lata, Kishore,
1980s,"aa hamasafar, pyaar kii sej par, kuchh kahe.n kuchh ... -  View",Chatpati (1982) and Yasmeen (1973) (1982),1982,Basu Manohari,Yogesh,Lata, Kishore,
1960s,badale badale mere sarakaar nazar aate hai.n -  View,Chaudhvin Kaa Chaand (1960),1960,Ravi,Shakeel,Lata,,
1970s,chhailaa teraa chhailaa maa.N ko ba.Daa sataa_e -  View,Chhailaa Baaboo (1977),1977,Laxmikant-Pyarelal,Anand Bakshi,Lata,,
1960s,terii raaho.n me.n kha.De hai.n dil thaam ke -  View,Chhalia (1960),1960,Kalyanji-Anandji,Qamar Jalalabadi,Lata,,
1970s,aa mere saathii aa -  View,Chhalia (1973),1973,R D Burman,Rajinder Krishan,Lata, R D Burman,
1960s,chham chham naachat aaii bahaar -  View,Chhaya (1961),1961,Salil Chowdhury,Rajinder Krishan,Lata,,
